period,cpi
2004-12,96.9
2005-01,96.5
2005-02,96.8
2005-03,97.0
2005-04,97.8
2005-05,97.7
2005-06,97.5
2005-07,97.0
2005-08,97.1
2005-09,97.5
2005-10,98.3
2005-11,98.0
2005-12,97.9
2006-01,97.9
2006-02,98.1
2006-03,98.0
2006-04,98.8
2006-05,98.9
2006-06,98.9
2006-07,98.3
2006-08,98.4
2006-09,98.2
2006-10,98.5
2006-11,98.4
2006-12,98.4
2007-01,97.9
2007-02,98.1
2007-03,98.3
2007-04,99.3
2007-05,99.5
2007-06,99.6
2007-07,99.0
2007-08,98.9
2007-09,99.0
2007-10,99.8
2007-11,100.2
2007-12,100.4
2008-01,100.4
2008-02,100.4
2008-03,100.7
2008-04,101.5
2008-05,102.1
2008-06,102.4
2008-07,102.2
2008-08,102.0
2008-09,101.8
2008-10,102.4
2008-11,101.4
2008-12,100.8
2009-01,100.3
2009-02,100.2
2009-03,100.0
2009-04,100.9
2009-05,100.9
2009-06,101.1
2009-07,100.8
2009-08,100.9
2009-09,100.7
2009-10,101.3
2009-11,101.2
2009-12,100.9
2010-01,101.1
2010-02,101.1
2010-03,101.4
2010-04,102.2
2010-05,101.9
2010-06,101.6
2010-07,101.1
2010-08,101.1
2010-09,100.9
2010-10,101.5
2010-11,101.4
2010-12,101.4
2011-01,101.1
2011-02,101.6
2011-03,102.3
2011-04,102.4
2011-05,102.2
2011-06,102.2
2011-07,101.3
2011-08,100.7
2011-09,101.2
2011-10,101.2
2011-11,100.7
2011-12,101.0
2012-01,100.2
2012-02,100.4
2012-03,101.2
2012-04,101.3
2012-05,101.1
2012-06,100.8
2012-07,100.6
2012-08,100.3
2012-09,101.0
2012-10,101.0
2012-11,100.5
2012-12,100.7
2013-01,100.2
2013-02,100.5
2013-03,100.9
2013-04,100.9
2013-05,100.9
2013-06,101.0
2013-07,101.1
2013-08,100.7
2013-09,101.2
2013-10,101.0
2013-11,100.7
2013-12,100.9
2014-01,100.3
2014-02,100.3
2014-03,100.8
2014-04,101.0
2014-05,101.1
2014-06,100.9
2014-07,101.0
2014-08,100.7
2014-09,101.2
2014-10,101.1
2014-11,100.8
2014-12,100.9
2015-01,100.28
2015-02,99.92
2015-03,100.39
2015-04,100.12
2015-05,100.2
2015-06,100.32
2015-07,100.13
2015-08,99.59
2015-09,99.93
2015-10,99.98
2015-11,99.63
2015-12,99.51
2016-01,98.82
2016-02,98.98
2016-03,99.36
2016-04,99.59
2016-05,99.71
2016-06,99.74
2016-07,99.66
2016-08,99.63
2016-09,99.63
2016-10,99.73
2016-11,99.43
2016-12,99.35
2017-01,99.15
2017-02,99.71
2017-03,99.85
2017-04,100.31
2017-05,100.13
2017-06,100.16
2017-07,100.24
2017-08,100.17
2017-09,100.39
2017-10,100.5
2017-11,100.22
2017-12,100.45
2018-01,99.95
2018-02,100.24
2018-03,100.56
2018-04,100.76
2018-05,101.15
2018-06,101.11
2018-07,101.47
2018-08,101.46
2018-09,101.47
2018-10,101.65
2018-11,101.24
2018-12,101.24
2019-01,100.63
2019-02,100.92
2019-03,101.23
2019-04,101.85
2019-05,101.63
2019-06,101.82
2019-07,101.87
2019-08,101.94
2019-09,101.56
2019-10,101.37
2019-11,100.92
2019-12,101.17
2020-01,100.8
2020-02,100.7
2020-03,100.78
2020-04,100.87
2020-05,100.65
2020-06,100.53
2020-07,100.63
2020-08,100.54
2020-09,100.44
2020-10,100.45
2020-11,100.09
2020-12,100.19
2021-01,100.24
2021-02,100.32
2021-03,100.53
2021-04,100.79
2021-05,100.99
2021-06,101.0
2021-07,101.12
2021-08,101.33
2021-09,101.29
2021-10,101.71
2021-11,101.57
2021-12,101.53
2022-01,101.69
2022-02,102.25
2022-03,102.73
2022-04,103.15
2022-05,103.72
2022-06,104.27
2022-07,104.42
2022-08,104.72
2022-09,104.53
2022-10,104.62
2022-11,104.49
2022-12,104.3
2023-01,104.99
2023-02,105.54
2023-03,105.53
2023-04,105.8
2023-05,106.03
2023-06,106.1
2023-07,106.58
2023-08,106.75
2023-09,106.57
2023-10,106.72
2023-11,106.17
2023-12,106.44
2024-01,106.57
2024-02,106.8
2024-03,106.74
2024-04,107.3
2024-05,107.58
2024-06,107.44
2024-07,107.89
2024-08,107.86
2024-09,107.5
2024-10,107.48
2024-11,106.92
2024-12,106.86
2025-01,106.8
2025-02,106.95
2025-03,106.86
2025-04,107.61
2025-05,107.4
2025-06,107.66
2025-07,108.02
2025-08,107.91
2025-09,107.55
2025-10,107.55
2025-11,106.91
2025-12,107.07
